SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100001,0,Revolving loans,M,N,Y,0,155500.0,507900.0,26780.0,446800.0,Commercial associate,Incomplete higher,Married,House / apartment,-8139,-2265,Managers,2.0,2,0.5145215900631386,0.6717889304890208,0.6352703638245824
100002,0,Cash loans,F,N,N,1,226300.0,221500.0,11060.0,203100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20247,365243,nan,3.0,2,,0.5949142917972278,0.41078534954449797
100003,0,Cash loans,M,N,Y,0,145200.0,967300.0,53690.0,906800.0,Working,Secondary / secondary special,Separated,House / apartment,-20457,365243,nan,2.0,2,,0.5712968226159436,0.36504723663929617
100004,0,Cash loans,M,Y,Y,0,131900.0,390800.0,20570.0,362100.0,Working,Secondary / secondary special,Married,House / apartment,-13799,365243,Laborers,2.0,1,,0.6178794553802165,0.17395367346701376
100005,0,Cash loans,F,Y,N,0,152700.0,1034600.0,95920.0,1013500.0,Commercial associate,Higher education,Single / not married,House / apartment,-17800,-898,Waiters/barmen staff,2.0,2,0.15084330542369612,0.6435289935442334,0.5160101338158901
100006,0,Cash loans,M,N,N,1,157300.0,337000.0,15510.0,323200.0,Pensioner,Higher education,Single / not married,House / apartment,-14833,-946,Core staff,2.0,2,0.26495630389108127,0.31847367871903826,0.5750292688621214
100007,0,Cash loans,M,Y,N,0,68600.0,341300.0,15660.0,324800.0,Working,Higher education,Married,House / apartment,-16677,-3313,Sales staff,2.0,2,0.2940711310603521,0.27827076089709096,0.5490448736661472
100008,0,Cash loans,M,Y,N,0,256200.0,599000.0,71390.0,556700.0,Working,Higher education,Married,House / apartment,-11096,-3601,Low-skill Laborers,2.0,2,0.08346394395535721,0.639914129815912,0.06573514002210579
100009,0,Revolving loans,F,N,N,0,98700.0,1012000.0,111310.0,929000.0,Commercial associate,Higher education,Married,House / apartment,-18206,-5014,Laborers,1.0,2,,0.5777407587451144,0.23611897557500078
100010,1,Cash loans,F,N,Y,0,97300.0,346400.0,27560.0,339600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9111,365243,nan,1.0,3,,0.5516578820907108,0.27873158418529537
